domain,hiv,ngo,health,aids,gov,data
https://www.recruitni.com,0,0,5,0,0,9
https://www.taboola.com,0,0,0,0,0,11
https://publichealth.lsuhsc.edu,0,0,9,0,0,0
https://www.evidon.com,0,0,0,0,19,14
https://www.personalcapital.com,0,0,1,0,0,4
https://www.unitedtoendhomelessness.org,0,0,0,0,1,4
https://media.livsothebysrealty.com,0,0,0,0,0,30
https://www.scorecardresearch.com,0,0,0,0,1,4
https://projects.kqed.org,1,15,29,0,26,15
https://tours.napleskenny.com,0,1,0,0,0,30
https://www.belfasttelegraphtravel.co.uk,0,0,0,0,0,0
https://wheelfunrentals.com,0,0,0,0,0,11
https://www.thisamericanlife.org,12,0,0,0,0,2
https://lounge.luxuryrealestate.com,0,0,0,0,0,4
https://royalpalm.com,0,0,0,0,2,10
https://www.independent.ie,1,0,15,0,0,14
https://rismedia.com,0,0,1,0,0,30
https://www.herald.ie,1,0,1,0,0,12
https://ico.org.uk,0,0,0,0,2,18
https://sciencebusiness.net,0,0,10,0,1,17
https://weather.belfasttelegraph.co.uk,4,6,5,0,0,14
https://nydfglobalplatform.org,0,0,1,0,6,9
https://affiliate-program.amazon.co.uk,0,0,1,0,0,2
https://www.adl.org,1,0,0,0,1,12
https://www.breastfedbabies.org,0,54,18,0,0,0
https://chaitanyagiri.com,0,0,0,0,0,9
https://jobs.sciencecareers.org,0,0,1,0,0,5
https://blog.ethereum.org,0,0,0,0,0,14
https://uhs.berkeley.edu,3,0,20,0,0,7
https://www.wired.it,0,0,2,0,2,44
https://afiliados.amazon.es,0,0,0,0,0,2
https://employers.sciencecareers.org,0,0,0,0,0,4
https://www.changethetalk.org,0,0,0,0,0,6
https://advertising.sciencemag.org,0,0,1,0,1,9
https://ngsp.osu.edu,0,0,0,0,0,3
https://www.multivu.com,0,0,1,0,0,1
https://www.huffingtonpost.in,2,0,1,0,0,16
https://practice.asco.org,0,1,3,0,0,7
https://www.itf-oecd.org,0,1,6,0,0,1
https://www.rug.nl,0,0,1,0,0,1
https://integralads.com,3,0,0,0,0,19
https://www.ccn.com,0,0,0,0,2,14
https://jennermuseum.com,0,0,0,0,0,12
https://advertising.amazon.es,0,0,0,0,0,3
https://press.princeton.edu,0,0,0,0,0,4
https://backissues.sciencemag.org,0,0,0,1,0,1
https://www.keele.ac.uk,0,0,7,0,1,4
https://www.lifesciencetraininginstitute.com,15,0,3,0,1,5
https://uwaterloo.ca,0,0,3,0,3,1
https://louisville.edu,0,0,2,0,0,0
https://ss2.climatecentral.org,0,3,0,0,18,168
https://www.nebulagenomics.io,0,0,0,0,0,16
https://ourworldindata.org,3,2,14,3,0,10
https://horsley.yale.edu,0,0,0,0,0,7
https://www.gradpi.com,0,0,0,0,0,1
https://amrbenchmark.org,0,0,5,0,8,13
https://services.amazon.es,0,0,0,0,0,4
https://www.usoncology.com,0,0,8,0,0,3
https://cop23.unfccc.int,1,1,3,0,5,7
https://figure1.com,0,0,3,0,0,2
https://www.english.illinois.edu,0,0,0,0,0,0
https://hemaware.org,3,1,2,0,1,4
https://svs.gsfc.nasa.gov,0,0,0,0,0,3
https://www.irvine.org,0,0,0,0,0,2
https://cancerlinq.org,0,0,4,0,1,17
https://www.uu.nl,0,0,0,0,0,5
https://climateaudit.org,9,2,0,0,1,55
https://nca2014.globalchange.gov,0,0,2,0,4,10
https://www.alec.org,0,0,4,0,7,2
https://www.mediamatters.org,0,0,2,0,2,0
https://www.desmog.ca,0,0,1,0,12,0
https://www.desmogblog.com,1,0,0,0,6,6
https://grist.org,2,0,1,0,0,5
https://www2.gmu.edu,0,1,7,1,2,6
https://dna.land,0,0,0,0,0,5
https://calmatters.org,0,0,6,0,17,23
https://kpcc.ticketleap.com,0,0,0,0,0,4
https://today.ucf.edu,2,0,4,0,0,7
https://followalice.com,3,0,0,0,1,33
https://www.amazon.cn,1,1,2,0,0,1422
https://hqlo.biomedcentral.com,0,0,17,0,0,5
https://sailfishos.org,0,1,0,0,0,3
https://polarbearsinternational.org,0,0,0,0,0,2
https://www.bing.com,0,0,0,0,0,47
https://retractionwatch.com,2,0,7,0,1,9
https://www.smokefreeworld.org,1,4,3,1,1,3
https://seaworld.org,0,0,0,0,0,3
https://pubs.giss.nasa.gov,0,0,0,0,0,8
https://thelogicofscience.com,1,0,11,0,5,21
https://www.geni.com,0,0,0,0,0,17
https://energytransition.org,1,1,1,0,1,2
https://estadisticas.pr,2,1,0,1,1,1
https://pluginamerica.org,1,0,1,0,0,5
https://dfi.wa.gov,0,0,1,0,23,7
https://theplanetd.com,0,0,0,0,0,6
https://www.statefirearmlaws.org,0,0,1,0,0,9
https://www.skatelescope.org,4,0,0,0,4,18
https://www.coolantarctica.com,0,0,0,0,1,4
https://www.uniteforbleedingdisorders.org,0,0,0,0,0,10
https://stepsforliving.hemophilia.org,0,0,3,0,0,8
https://www.sumocancer.org,0,0,2,0,1,10
https://www.co2.earth,0,0,0,0,0,12
https://legacy.voteview.com,2,0,0,0,0,3
https://www.climatescienceawarenesssolutions.org,0,0,1,0,0,3
https://www.nohandsbutours.com,2,2,0,0,0,7
https://maps.wunderground.com,2,0,0,0,0,16
https://www.rarebleedingdisorders.com,0,0,1,0,0,1
https://citiesipcc.org,3,0,0,0,0,7
https://magiworld.org,0,0,0,0,0,0
https://www.conquercancerfoundation.org,0,0,2,0,0,0
https://cires.colorado.edu,0,0,0,0,0,0
https://protectourwinters.org,0,0,0,0,0,11
https://www.burnet.edu.au,0,0,16,0,1,3
https://www.biotene.com,0,0,5,0,0,0
https://sealevel.nasa.gov,0,0,0,0,0,16
https://www.topagentmagazine.com,1,1,0,0,0,16
https://www.ecoom.be,0,0,2,0,0,2
https://www.eso.net,0,0,0,0,0,0
https://www.rtog.org,2,0,0,1,0,5
https://www.belfasttelegraph.co.uk,9,4,7,0,5,14
https://morethanscientists.org,0,0,0,0,2,9
https://www.ons.org,2,0,13,0,2,11
https://news.azpm.org,0,0,5,0,1,1
https://med.uky.edu,0,1,1,0,0,2
https://volunteer.asco.org,0,0,1,0,0,9
https://www.squarespace.com,0,0,0,0,0,6
https://easac.eu,1,0,3,0,0,3
https://quality.asco.org,0,0,0,0,0,0
https://greatergood.berkeley.edu,0,0,5,0,0,0
https://www.firstclinical.com,0,0,0,0,0,1
https://www.sgo.org,0,0,0,0,0,0
https://www.identityevropa.com,0,0,0,0,0,6
https://ce.mayo.edu,0,1,3,0,0,2
https://cegis.usgs.gov,1,0,0,0,2,13
https://www.clim-past.net,1,1,0,0,0,5
https://www.socra.org,0,0,12,0,4,15
https://unfccc6.meta-fusion.com,0,0,0,0,0,0
https://bravenewclimate.com,2,2,0,0,0,14
https://guide.change.org,0,0,0,0,0,2
https://cnce.engineering.asu.edu,0,0,2,0,0,7
https://forum.arctic-sea-ice.net,0,0,0,0,0,7
https://www.flasco.org,0,0,2,0,0,9
https://shop.asco.org,0,0,0,0,0,0
https://daily.jstor.org,0,6,1,0,1,8
https://bc.ctvnews.ca,0,0,3,0,3,15
https://www.optimizely.com,0,0,0,0,0,3
https://grants.conquer.org,0,0,0,0,0,7
https://climatesight.org,0,0,1,0,3,13
https://www.milkwood.net,0,4,0,0,1,18
https://cmss.org,0,0,2,0,0,6
https://www.tonixpharma.com,0,0,3,0,4,1
https://www.stuff.co.nz,0,0,2,0,0,4
https://www.met.no,0,0,0,0,0,5
https://www.pcisecuritystandards.org,0,1,0,0,0,6
https://cmeportal.asco.org,0,0,0,0,0,0
https://climatefeedback.org,0,0,0,0,0,6
https://climatecrocks.com,1,0,0,0,0,13
https://www.commondreams.org,0,0,1,0,0,2
https://19january2017snapshot.epa.gov,0,0,1,0,5,9
https://myqopi.asco.org,0,1,1,0,0,4
https://transitionnetwork.org,0,0,3,0,0,6
https://www.johnkay.com,0,0,0,0,1,25
https://arena.gov.au,2,0,0,0,8,7
https://www.greentechmedia.com,0,0,0,0,0,14
https://www.thesolutionsjournal.com,0,0,5,0,6,5
https://www.stilldrinking.org,0,2,0,0,0,3
https://ccts.osu.edu,0,1,0,0,0,0
https://www.idsco.org,0,0,2,0,1,10
https://www.501auctions.com,0,0,0,0,1,4
https://www.prospectmagazine.co.uk,3,0,0,0,2,5
https://www.aip.org,15,0,0,1,1,6
https://thetyee.ca,2,0,1,0,8,3
https://www.helpguide.org,0,0,7,0,0,0
https://www.nationalobserver.com,0,0,2,0,3,0
https://accap.uaf.edu,0,0,0,0,0,4
https://www.acgme.org,0,2,4,0,0,45
https://www.asbmb.org,0,0,3,0,1,3
https://sustainabletechnologyforum.com,2,0,0,0,0,9
https://www.brightpink.org,0,0,20,0,0,16
https://www.patientservicesinc.org,0,0,10,0,0,14
https://tools.ceit.uq.edu.au,0,0,0,0,0,0
https://na.unep.net,0,0,0,0,3,8
https://www.snowyhydro.com.au,0,3,0,0,4,2303
https://www.divestinvest.org,0,3,1,0,4,7
